2024-05-06 23:05:03 INFO     ### Saving logs in: logs\ComplEx_WN18RR ###
2024-05-06 23:15:26 INFO     	 Epoch 81 | average train loss: 4.3646
2024-05-06 23:15:26 INFO     	 Epoch 81 | average valid loss: 9.7251
2024-05-06 23:15:33 INFO     	 Epoch 82 | average train loss: 4.3621
2024-05-06 23:15:33 INFO     	 Epoch 82 | average valid loss: 9.7226
2024-05-06 23:15:40 INFO     	 Epoch 83 | average train loss: 4.3590
2024-05-06 23:15:40 INFO     	 Epoch 83 | average valid loss: 9.7221
2024-05-06 23:15:47 INFO     	 Epoch 84 | average train loss: 4.3579
2024-05-06 23:15:47 INFO     	 Epoch 84 | average valid loss: 9.7212
2024-05-06 23:15:49 INFO     	 valid MR: 6000.22 | MRR: 0.404 | H@1: 0.384 | H@3: 0.410 | H@10: 0.439 | AMRI: -0.000169 | MR_deviation: 820.000
2024-05-06 23:15:56 INFO     	 Epoch 85 | average train loss: 4.3545
2024-05-06 23:15:56 INFO     	 Epoch 85 | average valid loss: 9.7165
2024-05-06 23:16:03 INFO     	 Epoch 86 | average train loss: 4.3510
2024-05-06 23:16:03 INFO     	 Epoch 86 | average valid loss: 9.7155
2024-05-06 23:16:10 INFO     	 Epoch 87 | average train loss: 4.3491
2024-05-06 23:16:10 INFO     	 Epoch 87 | average valid loss: 9.7141
2024-05-06 23:16:18 INFO     	 Epoch 88 | average train loss: 4.3455
2024-05-06 23:16:18 INFO     	 Epoch 88 | average valid loss: 9.7129
2024-05-06 23:16:25 INFO     	 Epoch 89 | average train loss: 4.3436
2024-05-06 23:16:25 INFO     	 Epoch 89 | average valid loss: 9.7128
2024-05-06 23:16:26 INFO     	 valid MR: 5998.94 | MRR: 0.404 | H@1: 0.384 | H@3: 0.410 | H@10: 0.440 | AMRI: -0.000169 | MR_deviation: 929.000
2024-05-06 23:16:26 INFO     	 Saving model at epoch 89 in \logs\05_06\WN18RR\ComplEx_23_05_03
2024-05-06 23:16:33 INFO     	 Epoch 90 | average train loss: 4.3411
2024-05-06 23:16:33 INFO     	 Epoch 90 | average valid loss: 9.7094
2024-05-06 23:16:41 INFO     	 Epoch 91 | average train loss: 4.3397
2024-05-06 23:16:41 INFO     	 Epoch 91 | average valid loss: 9.7073
2024-05-06 23:16:48 INFO     	 Epoch 92 | average train loss: 4.3372
2024-05-06 23:16:48 INFO     	 Epoch 92 | average valid loss: 9.7056
2024-05-06 23:16:55 INFO     	 Epoch 93 | average train loss: 4.3357
2024-05-06 23:16:55 INFO     	 Epoch 93 | average valid loss: 9.7049
2024-05-06 23:17:02 INFO     	 Epoch 94 | average train loss: 4.3319
2024-05-06 23:17:02 INFO     	 Epoch 94 | average valid loss: 9.7035
2024-05-06 23:17:03 INFO     	 valid MR: 5989.56 | MRR: 0.404 | H@1: 0.384 | H@3: 0.412 | H@10: 0.440 | AMRI: -0.000169 | MR_deviation: 898.000
2024-05-06 23:17:03 INFO     	 Saving model at epoch 94 in \logs\05_06\WN18RR\ComplEx_23_05_03
2024-05-06 23:17:11 INFO     	 Epoch 95 | average train loss: 4.3295
2024-05-06 23:17:11 INFO     	 Epoch 95 | average valid loss: 9.6994
2024-05-06 23:17:18 INFO     	 Epoch 96 | average train loss: 4.3292
2024-05-06 23:17:18 INFO     	 Epoch 96 | average valid loss: 9.7009
2024-05-06 23:17:25 INFO     	 Epoch 97 | average train loss: 4.3257
2024-05-06 23:17:25 INFO     	 Epoch 97 | average valid loss: 9.7013
2024-05-06 23:17:32 INFO     	 Epoch 98 | average train loss: 4.3236
2024-05-06 23:17:32 INFO     	 Epoch 98 | average valid loss: 9.6988
2024-05-06 23:17:39 INFO     	 Epoch 99 | average train loss: 4.3212
2024-05-06 23:17:39 INFO     	 Epoch 99 | average valid loss: 9.6977
2024-05-06 23:17:41 INFO     	 valid MR: 5985.98 | MRR: 0.404 | H@1: 0.385 | H@3: 0.411 | H@10: 0.439 | AMRI: -0.000169 | MR_deviation: 974.000
2024-05-06 23:17:41 INFO     	 Saving model at epoch 99 in \logs\05_06\WN18RR\ComplEx_23_05_03
2024-05-06 23:17:41 INFO     	 Optimization finished
2024-05-06 23:17:41 INFO     	 Loading best model saved at epoch 99
2024-05-06 23:17:42 INFO     	 valid MR: 5985.98 | MRR: 0.404 | H@1: 0.385 | H@3: 0.411 | H@10: 0.439 | AMRI: -0.000169 | MR_deviation: 974.000
2024-05-06 23:17:44 INFO     	 test MR: 6021.99 | MRR: 0.401 | H@1: 0.381 | H@3: 0.408 | H@10: 0.438 | AMRI: -0.000169 | MR_deviation: 858.000
